Standard:, axo_std.mca0,,,,,,,,,,,,,,,,,,,,,,
realtime[s]:,121.911,121.911,,,,,,,,,,,,,,,,,,,,,
livetime[s]:,119.804,119.804,,,,,,,,,,,,,,,,,,,,,
I_[mA]:,101.966,,,,,,,,,,,,,,,,,,,,,,
US_IC[cts/s]:,"	231435.0",,,,,,,,,,,,,,,,,,,,,,
DS_IC[cts/s]:,"	189396.0",,,,,,,,,,,,,,,,,,,,,,
US_AMP[sensitivity/units/factor]:,100, nA/V,1,,,,,,,,,,,,,,,,,,,,
DS_AMP[sensitivity/units/factor]:,5, nA/V,50,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
name , z, units[DS_IC], units[US_IC], units[SRCurrent], units[1], use, calib, center, shift, width, bkground_left, bkground_right, left_roi[0], right_roi[0], left_bkground[0], right_bkground[0], absorption_1um_element, Be_window_transmission, Ge_dead_layer_transmission, XRF_yield, fraction_photons_absorbed_in_det, air_absoprtion, total_XRF_efficiency_factor
Pu_L,94, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,14.275,0,227,56,56,0,0,0,0,0.000628751,0.999397446,1,0.3634,0.590890991,1,0.151199515
Sm_L,62, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,5.635,0,164,41,41,0,0,0,0,0.000957549,0.987489534,1,0.1086,0.99999881,1,0.115070551
Y_L,39, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,1.922,0,151,37,37,0,0,0,0,0.000278258,0.688284224,1,0.0248,1,1,0.005322413
Pr_L,59, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,5.0329,0,161,40,40,0,0,0,0,0.00081533,0.982040582,1,0.091,0.999999993,1,0.081648047
Ce_L,58, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,4.839,0,160,40,40,0,0,0,0,0.000783219,0.979656366,1,0.0856,0.999999999,1,0.07359902
Zr_L,40, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,2.042,0,151,37,37,0,0,0,0,0.000300791,0.733249796,1,0.0264,1,1,0.006524734
Os_L,76, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,8.9099,0,184,46,46,0,0,0,0,0.000560188,0.997167857,1,0.212,0.973105435,1,0.129133533
Rb_L,37, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,1.694,0,151,37,37,0,0,0,0,0.000227586,0.57777149,1,0.021,1,1,0.003094302
Ru_L,44, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,2.558,0,153,38,38,0,0,0,0,0.000375597,0.857205822,1,0.0342,1,1,0.012338842
Hf_LAu_M,0, cts/s, cts/s, cts/s, cts/s,0,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
Pb_M,82, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,1,3,2.383,0,152,38,38,0,0,0,0,0.000313357,0.825284774,1,0.0292,1,1,0.008461896
U_M,92, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,3,3.171,0,154,38,38,0,0,0,0,0.000570311,0.924228736,1,0.0502,1,1,0.029650815
noise,0, cts/s, cts/s, cts/s, cts/s,0,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
dummy,0, cts/s, cts/s, cts/s, cts/s,0,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
s_i,0, cts/s, cts/s, cts/s, cts/s,1,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
s_e,0, cts/s, cts/s, cts/s, cts/s,1,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
s_a,0, cts/s, cts/s, cts/s, cts/s,1,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
TFY,0, cts/s, cts/s, cts/s, cts/s,1,0,8,0,178,44,44,0,0,0,0,0,0,0,0,1,0,0
Bkgnd,0, cts/s, cts/s, cts/s, cts/s,1,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
calibration curve for ROIs,,,,,,,,,,,,,,,,,,,,,,,
desc, name, Z, for_SRCurrent_norm, for_US_IC_norm, for_DS_IC_norm[XRF_counts_per_s/(weight_ugr_cm*standard.current)], measured_counts, error_bar, measured_nb1832, measured_nb1833,,,,,,,,,,,,,,
calib_curve_roi,Na,11,0.003264524,1.44E-06,1.76E-06,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Mg,12,0.01720474,7.58E-06,9.26E-06,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Al,13,0.047119933,2.08E-05,2.54E-05,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Si,14,0.107831747,4.75E-05,5.81E-05,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,P,15,0.201107409,8.86E-05,0.000108271,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,S,16,0.344105131,0.000151606,0.000185257,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Cl,17,0.521640466,0.000229825,0.000280838,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ar,18,0.758262738,0.000334077,0.000408229,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,K,19,1.195870944,0.000526879,0.000643827,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ca,20,1.640127621,0.00072261,0.000883003,508.7476211,0.044335214,508.7476211,0,,,,,,,,,,,,,,
calib_curve_roi,Sc,21,2.110296127,0.000929758,0.00113613,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ti,22,2.677385241,0.001179607,0.001441436,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,V,23,3.407146367,0.001501126,0.001834321,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Cr,24,4.216441565,0.001857687,0.002270025,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Mn,25,5.229514609,0.002304028,0.002815438,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Fe,26,6.502903244,0.002865059,0.003500998,325.231211,0.055450299,325.231211,0,,,,,,,,,,,,,,
calib_curve_roi,Co,27,7.56529688,0.003333131,0.004072964,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ni,28,9.441626357,0.004159807,0.005083132,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Cu,29,10.53128311,0.004639889,0.005669776,303.8295883,0.057370016,303.8295883,0,,,,,,,,,,,,,,
calib_curve_roi,Zn,30,12.20632911,0.005377884,0.006571578,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ga,31,10.20728916,0.004497144,0.005495345,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ge,32,2.255036004,0.000993527,0.001214054,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,As,33,2.512738453,0.001107066,0.001352795,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Se,34,2.669944865,0.001176329,0.001437431,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Br,35,2.893862832,0.001274983,0.001557982,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Kr,36,2.842647468,0.001252418,0.001530409,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Rb,37,2.955566928,0.001302168,0.001591202,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Sr,38,3.125993693,0.001377255,0.001682956,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Y,39,3.15941688,0.001391981,0.00170095,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Zr,40,3.161203406,0.001392768,0.001701912,0,0,0,0,,,,,,,,,,,,,,
